71;31;0.889600;0.215401;0.106584;0.086480;car;98.992065
73;32;0.989461;0.296951;0.019597;0.071042;parking meter;32.963554
73;32;0.437326;0.051733;0.067712;0.074113;car;97.160133
73;32;0.889576;0.215331;0.106336;0.086576;car;98.940071
75;33;0.989459;0.296974;0.019630;0.071222;parking meter;32.048920
75;33;0.437330;0.051700;0.067820;0.074057;car;97.220657
75;33;0.889590;0.215318;0.106383;0.086772;car;98.937592
77;34;0.989511;0.296806;0.019529;0.070969;parking meter;31.839041
77;34;0.437283;0.051742;0.067856;0.073913;car;97.320145
77;34;0.889617;0.215269;0.106372;0.086667;car;98.925873
79;35;0.989549;0.296937;0.019474;0.070795;parking meter;32.044338
79;35;0.437271;0.051724;0.067876;0.074061;car;97.225319
79;35;0.889637;0.215291;0.106480;0.086660;car;98.876274
81;36;0.989535;0.296974;0.019420;0.071052;parking meter;31.511509
81;36;0.437361;0.051723;0.067856;0.074124;car;97.179161
81;36;0.889665;0.215320;0.106268;0.086782;car;98.930740
83;37;0.889665;0.215324;0.106318;0.086436;car;98.938385
83;37;0.437384;0.051743;0.067765;0.073704;car;97.243896
85;38;0.889672;0.215371;0.106443;0.086417;car;98.923752
85;38;0.437397;0.051696;0.067848;0.073787;car;97.294769
87;39;0.989523;0.296841;0.019412;0.070966;parking meter;32.443127
87;39;0.437433;0.051707;0.067965;0.073831;car;97.433105
87;39;0.889687;0.215352;0.106215;0.086575;car;98.874748
89;40;0.989527;0.297004;0.019422;0.070974;parking meter;32.720871
89;40;0.437478;0.051681;0.067869;0.073892;car;97.236526
89;40;0.889688;0.215357;0.106202;0.086526;car;98.874161
91;41;0.989547;0.296971;0.019378;0.070994;parking meter;33.894051
91;41;0.437409;0.051664;0.067993;0.073781;car;97.307846
91;41;0.889727;0.215375;0.106236;0.086353;car;98.925186
93;42;0.989611;0.296923;0.019288;0.070891;parking meter;30.465109
94;42;0.437464;0.051587;0.067723;0.073704;car;97.303093
94;42;0.889714;0.215392;0.105864;0.086372;car;98.944176
96;43;0.989566;0.296991;0.019427;0.070760;parking meter;32.312027
97;43;0.437475;0.051524;0.067550;0.073910;car;97.192612
97;43;0.889637;0.215345;0.105944;0.086417;car;98.994843
100;44;0.989576;0.296915;0.019367;0.070994;parking meter;36.444080
100;44;0.437358;0.051570;0.067663;0.073901;car;97.260712
101;44;0.889578;0.215339;0.105776;0.086560;car;99.053551
103;45;0.989579;0.296775;0.019130;0.071263;parking meter;39.901211
103;45;0.437264;0.051474;0.066796;0.073287;car;97.482422
103;45;0.889548;0.215261;0.105942;0.086005;car;99.203781
105;46;0.989528;0.296860;0.019216;0.071052;parking meter;39.602871
105;46;0.437188;0.051481;0.066960;0.073357;car;97.490158
105;46;0.889476;0.215261;0.105752;0.086314;car;99.164337
107;47;0.989486;0.296759;0.019368;0.071148;parking meter;39.131020
107;47;0.437285;0.051498;0.067282;0.073307;car;97.529274
107;47;0.889627;0.215290;0.105856;0.086514;car;99.082275
109;48;0.989445;0.296859;0.019481;0.070793;parking meter;39.059776
109;48;0.437246;0.051513;0.067095;0.073188;car;97.594269
109;48;0.889541;0.215335;0.105970;0.086367;car;99.007278
111;49;0.989484;0.296839;0.019321;0.071006;parking meter;42.642628
111;49;0.437279;0.051542;0.067324;0.073119;car;97.611824
111;49;0.889571;0.215361;0.105706;0.086467;car;99.009010
113;50;0.989507;0.297017;0.019243;0.071040;parking meter;44.634739
113;50;0.437326;0.051584;0.067314;0.073395;car;97.336464
